,Name,Area,City,Cuisine,Price for 2,Walk in Offer,Rating,Average distance from City-Center,Type of Dining
1185,The Lantern Bar At Kandeel, Fort, Mumbai,"Chinese, North Indian, Kebab, Mughlai, Seafood, Pasta, Bar Food, Beverages",1500.0,20.0,4.4,10.0,Thematic Dining
1186,Out Of The Blue," Le Sutra Hotel, Khar", Mumbai,"European, Continental, Italian, Fast Food",2000.0,10.0,4.3,6.9,Fine Dining
1187,Banjara - Goldfinch Hotel," Goldfinch Hotel, Mahakali", Mumbai,"Bengali, North Indian, South Indian, Asian, Continental, Mangalorean, Desserts, Beverages",4000.0,20.0,4.4,11.4,Other
1188,Badmaash," Andheri Lokhandwala, Andheri West", Mumbai,"North Indian, Desserts, South Indian, Asian",1800.0,10.0,4.1,13.8,Regional Dining
1189,Liv Eatery & Bar," Wagle Estate, Thane West", Thane,"Asian, Continental, Mediterranean, North Indian, Italian, Chinese, Sushi, Desserts",1600.0,10.0,4.4,21.5,Thematic Dining
1190,Coast & Bloom, Kohinoor Square Mall, Mumbai,"Seafood, Maharashtrian, South Indian, Asian, Chinese, Desserts, Beverages",2000.0,10.0,4.5,1.7,Specialty Dining
1191,Heng Bok," Andheri Lokhandwala, Andheri West", Mumbai,"Korean, Beverages, Desserts, Asian",2000.0,10.0,4.1,13.7,Specialty Dining
1192,1 BHK - Bar House Kitchen, Vashi, Navi Mumbai,"North Indian, Goan, Italian, Portuguese, Bar Food",2000.0,10.0,4.5,15.6,Regional Dining
1193,Kofuku," Andheri Lokhandwala, Andheri West", Mumbai,"Japanese, Sushi, Rolls, Desserts, Beverages",2500.0,10.0,4.3,13.7,Fine Dining
1194,Tuya's, Juhu, Mumbai,"North Indian, Salad, Kebab, Italian, Chinese, Street Food, Asian, Pizza",1400.0,10.0,4.3,10.7,Regional Dining
1195,TAB - Thoughtful American Bistronomy, Lower Parel, Mumbai,"American, Mexican, Desserts, Burger",1800.0,10.0,4.3,4.1,Thematic Dining
1196,Nusara - Ramee Guestline Hotel," Ramee Guestline Hotel, Juhu", Mumbai,"Asian, Rolls, Pizza, Chinese, Desserts",2000.0,20.0,4.3,10.7,Thematic Dining
1197,De Aura Global Dining And Bar," Majiwada, Thane West", Thane,"North Indian, Biryani, Continental, Middle Eastern, Asian, Chinese, Sushi, Desserts",1200.0,10.0,4.4,25.4,Regional Dining
1198,Pints Of Wisdom, Bandra Kurla Complex, Mumbai,"North Indian, Bar Food, Chinese, Biryani, Fast Food",1000.0,10.0,4.5,5.1,Regional Dining
1199,Napoli By Shatranj," Pali Hill, Bandra West", Mumbai,"Italian, European, Desserts, Beverages, Bar Food, Pasta",3500.0,15.0,4.4,6.8,Fine Dining
1200,Anna Idli, Fort, Mumbai,"South Indian, Sandwich, Beverages",400.0,10.0,4.4,9.8,Regional Dining
1201,Brik, Fort, Mumbai,"Continental, Italian, Burger, Pizza, Chinese, Desserts, Beverages",1200.0,15.0,4.0,9.2,Thematic Dining
1202,Goma -  Asian Experience," Radisson, Goregaon West", Mumbai,"Asian, Sushi, Chinese, Japanese, Beverages",2000.0,15.0,4.6,17.3,Thematic Dining
1203,Baamee All Day Eatery, Veera Desai Area, Mumbai,"Asian, Italian, Continental, North Indian, Bakery",2500.0,10.0,4.3,13.0,Thematic Dining
1204,Lake View Cafe - The Westin Mumbai Powai Lake, The Westin Mumbai Powai Lake, Mumbai,"North Indian, South Indian, Asian, Chinese, Italian, Continental, Mughlai, Desserts",3500.0,15.0,4.1,13.8,Regional Dining
1308,Donna Deli," Linking Road, Bandra West", Mumbai,"Asian, Italian, Salad, Chinese, Pizza, Fast Food",1700.0,10.0,4.3,5.4,Thematic Dining
1309,Idlay Cafe, Chakala, Mumbai,"South Indian, Coffee, Tea, Desserts",350.0,10.0,4.1,10.1,Regional Dining
1310,Sesame - Hyatt Centric Juhu Mumbai, Hyatt Centric Juhu, Mumbai,"Asian, Sushi, European, Pizza, Japanese, Salad, Beverages, Desserts",1000.0,15.0,4.6,8.8,Thematic Dining
1312,La Cena By Di Mora," Wagle Estate, Thane West", Thane,"Asian, Mexican, Pizza, Italian, Continental, Spanish, Finger Food, Desserts",1800.0,20.0,3.9,21.6,Thematic Dining
1314,August Cafe, Khar, Mumbai,"Cafe, Beverages, Italian, Continental, Asian, Healthy Food, Mediterranean, Desserts",1200.0,20.0,4.6,6.4,Casual Dining
1315,Mainland China, Veera Desai Area, Mumbai,"Chinese, Asian, Seafood, Japanese, Sushi, Desserts, Beverages",2000.0,15.0,4.5,14.0,Thematic Dining
